date,value
2023-01-01,2038.91042
2023-02-01,2085.59819
2023-03-01,3745.84774
2023-04-01,2429.20661
2023-05-01,3375.89441
2023-06-01,1867.60816
2023-07-01,1179.17343
2023-08-01,2800.23731
2023-09-01,2387.51066
2023-10-01,3478.01076
2023-11-01,4657.19810
2023-12-01,3550.14175
2024-01-01,4815.86199
2024-02-01,5022.47045
2024-03-01,2785.54175
2024-04-01,2115.10617
2024-05-01,3696.96759
2024-06-01,2771.85127
2024-07-01,2644.48350
2024-08-01,2183.71705
2024-09-01,3727.33294
2024-10-01,5007.29396
2024-11-01,4431.75590
2024-12-01,4368.07787
2025-01-01,4316.54811
2025-02-01,4444.42740
2025-03-01,4588.70638
2025-04-01,3165.76583
2025-05-01,3388.65595
2025-06-01,3655.05417
2025-07-01,3641.13305
2025-08-01,3492.70610
2025-09-01,3525.38794
2025-10-01,5606.87455
2025-11-01,5219.49061
2025-12-01,4835.32741
2026-01-01,4695.55624
2026-02-01,3780.45461
2026-03-01,4335.55567
2026-04-01,4637.15843
2026-05-01,3627.52111
2026-06-01,2792.53027
2026-07-01,4425.56227
2026-08-01,3893.16777
