date,value
2023-01-01,648.19327
2023-02-01,1692.81938
2023-03-01,1104.18322
2023-04-01,1116.72848
2023-05-01,696.19044
2023-06-01,924.52842
2023-07-01,900.13205
2023-08-01,1527.12028
2023-09-01,1157.90041
2023-10-01,908.14036
2023-11-01,626.08801
2023-12-01,1213.40242
2024-01-01,831.36504
2024-02-01,1038.67699
2024-03-01,1017.79922
2024-04-01,850.25162
2024-05-01,1045.06726
2024-06-01,1280.96107
2024-07-01,862.28069
2024-08-01,1023.87603
2024-09-01,2066.96780
2024-10-01,1176.39211
2024-11-01,1652.06057
2024-12-01,2489.82614
2025-01-01,784.42983
2025-02-01,679.83667
2025-03-01,850.81294
2025-04-01,1711.91936
2025-05-01,1360.42842
2025-06-01,780.53067
2025-07-01,1632.24638
2025-08-01,1571.40443
2025-09-01,834.87180
2025-10-01,1210.42896
2025-11-01,1670.31690
2025-12-01,2179.90007
2026-01-01,932.42813
2026-02-01,695.74634
2026-03-01,1004.94105
2026-04-01,1113.41507
2026-05-01,793.68191
2026-06-01,959.60864
2026-07-01,1891.74265
2026-08-01,1986.18883
