date,value
2023-01-01,300.43985
2023-02-01,190.29336
2023-03-01,96.81674
2023-04-01,382.29738
2023-05-01,236.56716
2023-06-01,107.85078
2023-07-01,45.28759
2023-08-01,113.12069
2023-09-01,803.30733
2023-10-01,58.92885
2023-11-01,311.27834
2023-12-01,353.99481
2024-01-01,137.85425
2024-02-01,129.68314
2024-03-01,631.98426
2024-04-01,192.01933
2024-05-01,167.75301
2024-06-01,194.06296
2024-07-01,397.66753
2024-08-01,103.73854
2024-09-01,284.42357
2024-10-01,176.48204
2024-11-01,131.26284
2024-12-01,186.24873
2025-01-01,212.70946
2025-02-01,69.25065
2025-03-01,162.76156
2025-04-01,329.79968
2025-05-01,110.10171
2025-06-01,130.80163
2025-07-01,627.59742
2025-08-01,369.68858
2025-09-01,468.87913
2025-10-01,885.14990
2025-11-01,449.73619
2025-12-01,697.28839
2026-01-01,423.31901
2026-02-01,344.98529
2026-03-01,685.11186
2026-04-01,462.14976
2026-05-01,1018.28013
2026-06-01,710.02029
2026-07-01,624.70764
2026-08-01,313.56630
