date,value
2023-01-01,24653.16232
2023-02-01,42201.05073
2023-03-01,75748.15290
2023-04-01,30911.46133
2023-05-01,46374.11741
2023-06-01,54062.41348
2023-07-01,54006.67664
2023-08-01,44402.54191
2023-09-01,67154.24856
2023-10-01,49804.08834
2023-11-01,34886.31451
2023-12-01,66216.54787
2024-01-01,32741.30519
2024-02-01,54750.74863
2024-03-01,58893.04929
2024-04-01,36639.32015
2024-05-01,55534.48590
2024-06-01,69896.84110
2024-07-01,38773.98104
2024-08-01,53984.39445
2024-09-01,69876.21858
2024-10-01,42903.25018
2024-11-01,52817.13799
2024-12-01,65192.24235
2025-01-01,40255.42937
2025-02-01,36295.11971
2025-03-01,70418.25250
2025-04-01,41470.65337
2025-05-01,67683.21068
2025-06-01,58686.50344
2025-07-01,63196.75873
2025-08-01,64922.75079
2025-09-01,54734.97048
2025-10-01,41555.49593
2025-11-01,56650.98382
2025-12-01,62911.88960
2026-01-01,28199.84158
2026-02-01,45442.87222
2026-03-01,53833.17378
2026-04-01,46181.55353
2026-05-01,42996.30220
2026-06-01,70318.13306
2026-07-01,55832.97855
2026-08-01,46314.09050
