date,value
2023-01-01,27272.87325
2023-02-01,23274.98487
2023-03-01,30297.80349
2023-04-01,25240.98946
2023-05-01,29230.81531
2023-06-01,26555.27212
2023-07-01,19633.04208
2023-08-01,20487.95983
2023-09-01,27059.92855
2023-10-01,21975.32054
2023-11-01,21793.28545
2023-12-01,20128.42326
2024-01-01,24128.38838
2024-02-01,24290.70834
2024-03-01,27857.41771
2024-04-01,20542.00212
2024-05-01,27277.24039
2024-06-01,19719.10288
2024-07-01,20300.88559
2024-08-01,22716.44415
2024-09-01,22252.47092
2024-10-01,26288.51101
2024-11-01,26276.32236
2024-12-01,21708.98611
2025-01-01,24816.11953
2025-02-01,19774.44871
2025-03-01,25023.67599
2025-04-01,22290.65708
2025-05-01,28465.89606
2025-06-01,19595.31950
2025-07-01,20392.93640
2025-08-01,24485.73250
2025-09-01,21515.29297
2025-10-01,23507.63205
2025-11-01,22564.69465
2025-12-01,20965.16361
2026-01-01,21952.70561
2026-02-01,21676.11389
2026-03-01,21258.68284
2026-04-01,27123.33506
2026-05-01,21130.32370
2026-06-01,25285.68494
2026-07-01,22827.55853
2026-08-01,21145.93293
