date,value
2023-01-01,1573.95132
2023-02-01,1794.35326
2023-03-01,2544.88632
2023-04-01,2478.72683
2023-05-01,1888.65551
2023-06-01,1232.00518
2023-07-01,467.90461
2023-08-01,147.33604
2023-09-01,297.65631
2023-10-01,1135.89711
2023-11-01,2023.25608
2023-12-01,2191.46910
2024-01-01,1965.26206
2024-02-01,1282.64960
2024-03-01,1848.40549
2024-04-01,1629.26997
2024-05-01,1167.37395
2024-06-01,575.01783
2024-07-01,47.92274
2024-08-01,6.91335
2024-09-01,320.56056
2024-10-01,1104.70315
2024-11-01,1568.30666
2024-12-01,1961.08454
2025-01-01,1399.49375
2025-02-01,1153.51188
2025-03-01,1584.82621
2025-04-01,1993.37641
2025-05-01,1348.32636
2025-06-01,576.37271
2025-07-01,103.87947
2025-08-01,0.00000
2025-09-01,111.56378
2025-10-01,867.39353
2025-11-01,2312.06589
2025-12-01,3884.54870
2026-01-01,2502.09474
2026-02-01,1943.62181
2026-03-01,2746.23799
2026-04-01,4909.06760
2026-05-01,1814.48983
2026-06-01,802.17122
2026-07-01,146.67741
2026-08-01,741.78832
