date,value
2023-01-01,578.29221
2023-02-01,678.59115
2023-03-01,955.77305
2023-04-01,894.07976
2023-05-01,594.28599
2023-06-01,1350.68230
2023-07-01,826.37901
2023-08-01,845.96620
2023-09-01,746.67281
2023-10-01,810.80189
2023-11-01,576.14947
2023-12-01,592.93921
2024-01-01,742.49384
2024-02-01,1105.13596
2024-03-01,554.71099
2024-04-01,410.07776
2024-05-01,513.23828
2024-06-01,364.20199
2024-07-01,391.74497
2024-08-01,288.08963
2024-09-01,675.79024
2024-10-01,774.89352
2024-11-01,867.53033
2024-12-01,815.59311
2025-01-01,854.54162
2025-02-01,1072.96219
2025-03-01,948.59710
2025-04-01,862.97830
2025-05-01,1079.25680
2025-06-01,843.79691
2025-07-01,1111.77755
2025-08-01,948.50663
2025-09-01,924.81074
2025-10-01,1464.89966
2025-11-01,1017.29820
2025-12-01,813.81596
2026-01-01,887.51420
2026-02-01,1523.78734
2026-03-01,838.83218
2026-04-01,1606.67458
2026-05-01,1323.49624
2026-06-01,1719.16654
2026-07-01,1774.82228
2026-08-01,893.79923
