date,value
2023-01-01,2270.17747
2023-02-01,1594.62627
2023-03-01,3187.36071
2023-04-01,2351.86522
2023-05-01,3314.59825
2023-06-01,3508.72255
2023-07-01,2889.22751
2023-08-01,4056.65487
2023-09-01,2946.07472
2023-10-01,4214.05838
2023-11-01,3797.55082
2023-12-01,3304.88348
2024-01-01,2485.00919
2024-02-01,2224.50249
2024-03-01,3398.21504
2024-04-01,3040.82972
2024-05-01,2848.73716
2024-06-01,2205.84346
2024-07-01,3531.18003
2024-08-01,2770.33072
2024-09-01,4147.03112
2024-10-01,4754.51595
2024-11-01,5055.39013
2024-12-01,4226.47311
2025-01-01,3336.09342
2025-02-01,4176.84052
2025-03-01,3804.10900
2025-04-01,5177.75251
2025-05-01,5534.93476
2025-06-01,3840.30156
2025-07-01,4586.32213
2025-08-01,4568.34981
2025-09-01,4441.02809
2025-10-01,5271.70260
2025-11-01,5997.10465
2025-12-01,7515.97768
2026-01-01,3790.55029
2026-02-01,5651.65592
2026-03-01,4326.36908
2026-04-01,6439.11020
2026-05-01,5066.74442
2026-06-01,7227.93491
2026-07-01,5893.19735
2026-08-01,7250.18886
