date,value
2023-01-01,1416.07956
2023-02-01,1014.77489
2023-03-01,1159.80750
2023-04-01,1813.18448
2023-05-01,2432.37679
2023-06-01,2673.49807
2023-07-01,3408.83559
2023-08-01,3134.26371
2023-09-01,1951.56300
2023-10-01,2383.42363
2023-11-01,2953.64327
2023-12-01,1737.19844
2024-01-01,3189.10578
2024-02-01,2955.81998
2024-03-01,2607.02381
2024-04-01,2925.59186
2024-05-01,6257.95532
2024-06-01,8281.68898
2024-07-01,7828.41336
2024-08-01,7940.09423
2024-09-01,6948.31167
2024-10-01,4326.82650
2024-11-01,4580.99476
2024-12-01,2540.27697
2025-01-01,2205.96352
2025-02-01,1913.87470
2025-03-01,2980.30445
2025-04-01,4137.47691
2025-05-01,2716.04830
2025-06-01,1995.94136
2025-07-01,4319.60298
2025-08-01,3511.35409
2025-09-01,3890.30822
2025-10-01,4328.58266
2025-11-01,3749.33049
2025-12-01,5127.37684
2026-01-01,4532.27473
2026-02-01,5109.88907
2026-03-01,2059.67342
2026-04-01,2775.91008
2026-05-01,2850.94146
2026-06-01,4639.78603
2026-07-01,3818.20950
2026-08-01,4697.31896
