date,value
2023-01-01,5287.88887
2023-02-01,4347.17070
2023-03-01,11179.12871
2023-04-01,7878.65565
2023-05-01,14484.58590
2023-06-01,15921.07504
2023-07-01,17845.13978
2023-08-01,14975.16314
2023-09-01,14571.68486
2023-10-01,20345.39041
2023-11-01,12569.09242
2023-12-01,21553.22876
2024-01-01,5315.66607
2024-02-01,14536.32099
2024-03-01,10574.68208
2024-04-01,16220.03325
2024-05-01,20844.25553
2024-06-01,11955.25569
2024-07-01,17602.42565
2024-08-01,28350.88088
2024-09-01,22917.87695
2024-10-01,19989.47703
2024-11-01,11464.54990
2024-12-01,7283.82783
2025-01-01,5135.03842
2025-02-01,6524.35281
2025-03-01,8461.08504
2025-04-01,7806.78718
2025-05-01,17629.38282
2025-06-01,8290.47239
2025-07-01,10766.37843
2025-08-01,19521.47512
2025-09-01,9970.75128
2025-10-01,8587.13183
2025-11-01,7659.66860
2025-12-01,11504.75889
2026-01-01,8850.44536
2026-02-01,8164.20130
2026-03-01,15577.39199
2026-04-01,12190.90704
2026-05-01,8855.56250
2026-06-01,11235.56578
2026-07-01,9342.14156
2026-08-01,11886.51701
