date,value
2023-01-01,855.94744
2023-02-01,488.87573
2023-03-01,694.67772
2023-04-01,554.38541
2023-05-01,675.04945
2023-06-01,575.80129
2023-07-01,334.95537
2023-08-01,96.06508
2023-09-01,111.79935
2023-10-01,109.54674
2023-11-01,181.58571
2023-12-01,325.80194
2024-01-01,254.59144
2024-02-01,269.22897
2024-03-01,209.31808
2024-04-01,904.35938
2024-05-01,1593.77499
2024-06-01,1133.09945
2024-07-01,361.24724
2024-08-01,785.42966
2024-09-01,501.02173
2024-10-01,1175.93041
2024-11-01,369.43122
2024-12-01,164.75229
2025-01-01,248.27016
2025-02-01,406.72442
2025-03-01,255.19629
2025-04-01,818.75705
2025-05-01,514.00158
2025-06-01,289.77940
2025-07-01,198.03452
2025-08-01,467.92950
2025-09-01,2883.27406
2025-10-01,1790.60732
2025-11-01,1937.37030
2025-12-01,3590.69910
2026-01-01,2189.53181
2026-02-01,6666.05638
2026-03-01,13168.81623
2026-04-01,10100.56317
2026-05-01,2255.73369
2026-06-01,4727.02434
2026-07-01,1698.08259
2026-08-01,2853.16842
