date,value
2023-01-01,3746.98961
2023-02-01,4557.41858
2023-03-01,2735.94326
2023-04-01,2448.93360
2023-05-01,3840.64790
2023-06-01,4017.11881
2023-07-01,4412.70175
2023-08-01,5654.19936
2023-09-01,2889.47804
2023-10-01,5277.57498
2023-11-01,3399.41576
2023-12-01,4849.88670
2024-01-01,6126.23043
2024-02-01,3351.50007
2024-03-01,2966.18809
2024-04-01,5256.85175
2024-05-01,10110.55082
2024-06-01,4900.00312
2024-07-01,6585.43415
2024-08-01,4997.49395
2024-09-01,5434.78756
2024-10-01,6838.14227
2024-11-01,11067.82905
2024-12-01,10454.96663
2025-01-01,8582.91854
2025-02-01,3793.11944
2025-03-01,8652.55053
2025-04-01,6314.36573
2025-05-01,9604.22356
2025-06-01,10744.84356
2025-07-01,8690.70254
2025-08-01,1825.75268
2025-09-01,9635.94339
2025-10-01,14801.95857
2025-11-01,14490.44228
2025-12-01,9495.06648
2026-01-01,16871.03558
2026-02-01,8969.18989
2026-03-01,18733.95896
2026-04-01,17337.27292
2026-05-01,3361.55019
2026-06-01,6181.94209
2026-07-01,5470.53417
2026-08-01,10044.94444
