date,value
2023-01-01,2519.72707
2023-02-01,513.65670
2023-03-01,1627.36302
2023-04-01,1326.31899
2023-05-01,2152.37856
2023-06-01,1440.60745
2023-07-01,1439.55457
2023-08-01,2002.61064
2023-09-01,1813.67181
2023-10-01,1620.87000
2023-11-01,1655.57696
2023-12-01,1543.09209
2024-01-01,1678.11644
2024-02-01,1647.93776
2024-03-01,1374.57364
2024-04-01,1383.75878
2024-05-01,1980.37688
2024-06-01,1329.96637
2024-07-01,3734.49720
2024-08-01,1182.20241
2024-09-01,1915.90043
2024-10-01,2124.77225
2024-11-01,1948.80845
2024-12-01,1752.93706
2025-01-01,1906.49257
2025-02-01,2096.44572
2025-03-01,3617.65672
2025-04-01,3581.84550
2025-05-01,5006.83798
2025-06-01,2098.57682
2025-07-01,8572.66339
2025-08-01,5765.23587
2025-09-01,6602.74244
2025-10-01,3044.66393
2025-11-01,2103.58709
2025-12-01,2672.82704
2026-01-01,1660.81309
2026-02-01,1337.11843
2026-03-01,2473.79811
2026-04-01,3923.11985
2026-05-01,6667.10030
2026-06-01,4561.88007
2026-07-01,10049.29777
2026-08-01,6015.75531
