date,value
2023-01-01,9575.77392
2023-02-01,5630.89962
2023-03-01,10155.43324
2023-04-01,5801.85414
2023-05-01,6560.46082
2023-06-01,4129.05866
2023-07-01,6688.48712
2023-08-01,12866.35934
2023-09-01,31752.89007
2023-10-01,35660.18685
2023-11-01,12034.52817
2023-12-01,23159.13615
2024-01-01,10234.86001
2024-02-01,14043.72508
2024-03-01,12265.00136
2024-04-01,7741.73235
2024-05-01,6664.42354
2024-06-01,4457.73843
2024-07-01,6851.43325
2024-08-01,6393.92037
2024-09-01,9432.33610
2024-10-01,11270.99970
2024-11-01,13384.40019
2024-12-01,12743.06389
2025-01-01,11645.27086
2025-02-01,11241.93785
2025-03-01,13351.83517
2025-04-01,7376.86164
2025-05-01,5957.67375
2025-06-01,5550.15063
2025-07-01,6836.70902
2025-08-01,7458.57864
2025-09-01,8771.54441
2025-10-01,9370.85608
2025-11-01,8141.97488
2025-12-01,9734.32732
2026-01-01,6624.27808
2026-02-01,8850.13642
2026-03-01,10496.70199
2026-04-01,8779.80683
2026-05-01,6051.15315
2026-06-01,7004.59589
2026-07-01,7480.96275
2026-08-01,8072.60168
