date,value
2023-01-01,196711.97927
2023-02-01,217019.91086
2023-03-01,260421.68850
2023-04-01,226299.20696
2023-05-01,245284.35257
2023-06-01,237933.02105
2023-07-01,218379.29953
2023-08-01,243192.31663
2023-09-01,241840.21764
2023-10-01,237337.46707
2023-11-01,238774.93161
2023-12-01,233841.55495
2024-01-01,221165.01131
2024-02-01,233386.52786
2024-03-01,254143.50642
2024-04-01,193737.54680
2024-05-01,263575.88165
2024-06-01,195739.45858
2024-07-01,252713.91902
2024-08-01,260399.26015
2024-09-01,254693.62757
2024-10-01,257591.60985
2024-11-01,248876.67607
2024-12-01,232643.60009
2025-01-01,219642.71325
2025-02-01,214949.40049
2025-03-01,245732.82939
2025-04-01,244565.95903
2025-05-01,263198.60609
2025-06-01,202979.54237
2025-07-01,261276.37324
2025-08-01,231281.40078
2025-09-01,237900.37716
2025-10-01,259755.32479
2025-11-01,232360.52800
2025-12-01,246229.70984
2026-01-01,200613.00471
2026-02-01,227353.74812
2026-03-01,214782.52238
2026-04-01,265049.77519
2026-05-01,213864.20619
2026-06-01,250376.10972
2026-07-01,281748.80015
2026-08-01,224494.25207
