date,value
2023-01-01,46542.91618
2023-02-01,49722.46043
2023-03-01,59259.04951
2023-04-01,53404.51436
2023-05-01,55121.25673
2023-06-01,52346.32344
2023-07-01,48909.33441
2023-08-01,60550.28184
2023-09-01,56269.31628
2023-10-01,58269.51096
2023-11-01,57851.63154
2023-12-01,60846.39878
2024-01-01,57418.96500
2024-02-01,71803.61779
2024-03-01,68463.34969
2024-04-01,56550.06677
2024-05-01,64080.24210
2024-06-01,47077.08437
2024-07-01,67765.08952
2024-08-01,60951.54377
2024-09-01,58010.49932
2024-10-01,68803.22076
2024-11-01,61099.69727
2024-12-01,59339.66031
2025-01-01,56260.70096
2025-02-01,60999.07287
2025-03-01,67018.64277
2025-04-01,57009.64611
2025-05-01,63805.60557
2025-06-01,57686.41958
2025-07-01,59680.33107
2025-08-01,52753.52085
2025-09-01,57417.10625
2025-10-01,57902.76738
2025-11-01,51714.60073
2025-12-01,61350.13489
2026-01-01,44134.80320
2026-02-01,54658.36872
2026-03-01,52210.85647
2026-04-01,56687.97250
2026-05-01,52971.91482
2026-06-01,61510.10369
2026-07-01,56234.16706
2026-08-01,51210.91682
