date,value
2023-01-01,661210.44289
2023-02-01,609543.05851
2023-03-01,773916.42998
2023-04-01,655938.47089
2023-05-01,733615.07563
2023-06-01,647675.51160
2023-07-01,706435.59689
2023-08-01,698761.62155
2023-09-01,739838.74623
2023-10-01,715704.13644
2023-11-01,778804.89538
2023-12-01,746062.22202
2024-01-01,706748.03936
2024-02-01,712607.88116
2024-03-01,746004.18930
2024-04-01,613921.17172
2024-05-01,772635.06354
2024-06-01,574796.73954
2024-07-01,671732.66965
2024-08-01,655709.77428
2024-09-01,695561.31282
2024-10-01,784135.85951
2024-11-01,676056.85313
2024-12-01,699028.93088
2025-01-01,641581.25257
2025-02-01,663651.47228
2025-03-01,762252.80670
2025-04-01,684789.64629
2025-05-01,822612.75056
2025-06-01,697840.34254
2025-07-01,808546.03851
2025-08-01,653368.35450
2025-09-01,594458.65334
2025-10-01,725641.35121
2025-11-01,754860.51764
2025-12-01,614500.54021
2026-01-01,664649.74919
2026-02-01,708269.90757
2026-03-01,668382.64977
2026-04-01,773224.89504
2026-05-01,616527.42282
2026-06-01,739388.16966
2026-07-01,697221.20593
2026-08-01,700482.21226
