date,value
2023-01-01,29081.51814
2023-02-01,24690.21291
2023-03-01,30467.24793
2023-04-01,25428.12315
2023-05-01,33022.94732
2023-06-01,33416.74696
2023-07-01,29321.34375
2023-08-01,28449.90945
2023-09-01,24440.76067
2023-10-01,28706.06640
2023-11-01,22404.74634
2023-12-01,25514.93030
2024-01-01,22571.05689
2024-02-01,24300.88941
2024-03-01,24737.73287
2024-04-01,22408.48009
2024-05-01,32408.78289
2024-06-01,25391.83681
2024-07-01,24716.64158
2024-08-01,26074.09634
2024-09-01,28194.70449
2024-10-01,25560.96631
2024-11-01,23069.66836
2024-12-01,20627.18543
2025-01-01,19497.58878
2025-02-01,19802.01676
2025-03-01,25339.96252
2025-04-01,24168.81298
2025-05-01,28170.58033
2025-06-01,25671.96694
2025-07-01,28419.57803
2025-08-01,24613.69945
2025-09-01,25390.93819
2025-10-01,28906.90831
2025-11-01,25160.91543
2025-12-01,31173.59464
2026-01-01,30377.38753
2026-02-01,26513.01540
2026-03-01,30639.33003
2026-04-01,34938.14920
2026-05-01,25171.56548
2026-06-01,28546.67959
2026-07-01,31415.49599
2026-08-01,26486.75018
