date,value
2023-01-01,4078.48147
2023-02-01,3390.81818
2023-03-01,4892.69340
2023-04-01,3496.23178
2023-05-01,5300.37366
2023-06-01,3156.87581
2023-07-01,3110.23739
2023-08-01,3473.20364
2023-09-01,3314.43166
2023-10-01,5922.95045
2023-11-01,7095.48476
2023-12-01,6422.84923
2024-01-01,5782.62439
2024-02-01,5369.35020
2024-03-01,4296.21481
2024-04-01,4444.87576
2024-05-01,5458.56217
2024-06-01,3085.87874
2024-07-01,4142.23818
2024-08-01,2971.06650
2024-09-01,5438.53106
2024-10-01,6793.46210
2024-11-01,6746.02699
2024-12-01,7189.85177
2025-01-01,5570.02417
2025-02-01,6775.53153
2025-03-01,4191.86768
2025-04-01,4875.75854
2025-05-01,3955.00599
2025-06-01,2912.43831
2025-07-01,4564.85009
2025-08-01,4371.01226
2025-09-01,3028.55868
2025-10-01,8677.42232
2025-11-01,6421.46328
2025-12-01,8264.70783
2026-01-01,7245.06906
2026-02-01,6081.89885
2026-03-01,7358.48510
2026-04-01,5015.15408
2026-05-01,4718.38702
2026-06-01,6248.33783
2026-07-01,3636.81196
2026-08-01,3220.21965
