date,value
2023-01-01,165324.13099
2023-02-01,167736.72112
2023-03-01,216944.15381
2023-04-01,177842.70971
2023-05-01,185058.88610
2023-06-01,178744.28213
2023-07-01,160711.17491
2023-08-01,175080.51977
2023-09-01,186158.83754
2023-10-01,173777.20634
2023-11-01,186632.86816
2023-12-01,159796.17673
2024-01-01,145194.33831
2024-02-01,155368.28303
2024-03-01,175612.88590
2024-04-01,164577.49007
2024-05-01,176637.02412
2024-06-01,161904.14900
2024-07-01,206751.95375
2024-08-01,201423.57801
2024-09-01,175885.86016
2024-10-01,192051.46269
2024-11-01,164496.25809
2024-12-01,179712.38965
2025-01-01,156409.11528
2025-02-01,170360.42046
2025-03-01,184359.44207
2025-04-01,196150.58835
2025-05-01,198304.27507
2025-06-01,150943.05359
2025-07-01,194955.37374
2025-08-01,175434.33929
2025-09-01,181392.05179
2025-10-01,182446.25490
2025-11-01,160047.53061
2025-12-01,184035.51274
2026-01-01,158710.24781
2026-02-01,185870.66323
2026-03-01,237284.36307
2026-04-01,243756.66167
2026-05-01,263780.52504
2026-06-01,239801.36430
2026-07-01,239891.84904
2026-08-01,207510.99458
