date,value
2023-01-01,22838.76977
2023-02-01,19735.15433
2023-03-01,23607.28365
2023-04-01,29819.28094
2023-05-01,29561.57098
2023-06-01,22903.91528
2023-07-01,21524.24242
2023-08-01,26287.98784
2023-09-01,16836.34627
2023-10-01,21334.92842
2023-11-01,18126.49261
2023-12-01,19782.09339
2024-01-01,18149.15961
2024-02-01,23495.25384
2024-03-01,21434.75711
2024-04-01,21950.62524
2024-05-01,28221.19264
2024-06-01,19990.47830
2024-07-01,28142.00252
2024-08-01,29079.90052
2024-09-01,27808.66221
2024-10-01,30009.76722
2024-11-01,27033.36634
2024-12-01,25276.14168
2025-01-01,28857.32741
2025-02-01,25291.48093
2025-03-01,28506.55008
2025-04-01,25958.12606
2025-05-01,26462.43092
2025-06-01,18197.33334
2025-07-01,30579.82393
2025-08-01,23760.24054
2025-09-01,32134.15225
2025-10-01,20705.23975
2025-11-01,21807.18525
2025-12-01,18879.60219
2026-01-01,28663.55237
2026-02-01,26569.20599
2026-03-01,20588.01912
2026-04-01,29299.76775
2026-05-01,27378.17638
2026-06-01,25939.92824
2026-07-01,27224.21857
2026-08-01,30007.29913
