date,value
2023-01-01,36363.81546
2023-02-01,45458.50491
2023-03-01,45051.95772
2023-04-01,35836.09221
2023-05-01,61892.89154
2023-06-01,50803.47752
2023-07-01,62952.64256
2023-08-01,49251.43698
2023-09-01,48794.26715
2023-10-01,43930.69060
2023-11-01,39358.63340
2023-12-01,30536.67818
2024-01-01,40480.95976
2024-02-01,51796.91438
2024-03-01,57719.53456
2024-04-01,45506.29259
2024-05-01,53277.68568
2024-06-01,51301.32417
2024-07-01,70212.35845
2024-08-01,70432.47402
2024-09-01,50485.19539
2024-10-01,64645.09447
2024-11-01,51247.53810
2024-12-01,60267.94584
2025-01-01,42281.28328
2025-02-01,44463.03939
2025-03-01,35426.50159
2025-04-01,50334.38848
2025-05-01,70920.33767
2025-06-01,72825.30606
2025-07-01,88325.54834
2025-08-01,72932.57836
2025-09-01,85113.87964
2025-10-01,50206.72694
2025-11-01,44198.81846
2025-12-01,58478.71747
2026-01-01,42318.37248
2026-02-01,58397.33531
2026-03-01,38744.76133
2026-04-01,52556.03145
2026-05-01,66698.00716
2026-06-01,94139.33949
2026-07-01,80189.04600
2026-08-01,99462.97080
