date,value
2023-01-01,1322.12520
2023-02-01,401.14023
2023-03-01,1051.39411
2023-04-01,806.55588
2023-05-01,1278.07718
2023-06-01,1069.47904
2023-07-01,1473.51522
2023-08-01,991.32703
2023-09-01,917.97347
2023-10-01,1088.33054
2023-11-01,1219.36909
2023-12-01,1146.13602
2024-01-01,1191.06029
2024-02-01,1566.01333
2024-03-01,1050.59849
2024-04-01,901.88578
2024-05-01,1283.03983
2024-06-01,889.77188
2024-07-01,1653.57889
2024-08-01,1591.83606
2024-09-01,1505.72986
2024-10-01,1284.45660
2024-11-01,1028.33473
2024-12-01,1000.89520
2025-01-01,1224.93537
2025-02-01,1994.85010
2025-03-01,1473.38888
2025-04-01,957.03881
2025-05-01,1491.84042
2025-06-01,1860.39092
2025-07-01,2020.07801
2025-08-01,2271.82308
2025-09-01,2145.95560
2025-10-01,1549.85618
2025-11-01,2001.12507
2025-12-01,1944.97868
2026-01-01,1316.01869
2026-02-01,1257.82273
2026-03-01,1565.55623
2026-04-01,1525.73206
2026-05-01,1327.21865
2026-06-01,1296.03816
2026-07-01,2093.06793
2026-08-01,994.72431
