date,value
2023-01-01,873.13051
2023-02-01,980.47046
2023-03-01,1271.51491
2023-04-01,840.21434
2023-05-01,806.01274
2023-06-01,714.07190
2023-07-01,902.16077
2023-08-01,1312.87760
2023-09-01,135.52693
2023-10-01,884.22788
2023-11-01,1264.04547
2023-12-01,794.72964
2024-01-01,1373.12163
2024-02-01,614.83375
2024-03-01,893.88122
2024-04-01,792.77286
2024-05-01,521.07517
2024-06-01,649.10680
2024-07-01,333.75840
2024-08-01,262.72107
2024-09-01,311.16639
2024-10-01,838.03727
2024-11-01,1351.96287
2024-12-01,928.67497
2025-01-01,577.25441
2025-02-01,292.03813
2025-03-01,487.00863
2025-04-01,1103.88587
2025-05-01,180.62031
2025-06-01,663.03109
2025-07-01,97.87792
2025-08-01,246.53087
2025-09-01,88.97830
2025-10-01,458.48529
2025-11-01,394.77806
2025-12-01,295.97045
2026-01-01,388.73722
2026-02-01,907.17911
2026-03-01,1057.75847
2026-04-01,946.17200
2026-05-01,1373.45344
2026-06-01,1218.62967
2026-07-01,1085.27159
2026-08-01,1168.12811
