date,value
2023-01-01,102.08820
2023-02-01,58.47020
2023-03-01,152.60900
2023-04-01,80.76862
2023-05-01,145.53800
2023-06-01,207.13403
2023-07-01,156.96700
2023-08-01,106.64300
2023-09-01,150.85700
2023-10-01,135.78760
2023-11-01,94.71400
2023-12-01,77.05690
2024-01-01,11.99500
2024-02-01,39.56950
2024-03-01,128.65580
2024-04-01,202.70600
2024-05-01,385.39450
2024-06-01,417.04150
2024-07-01,572.20175
2024-08-01,408.13250
2024-09-01,654.01810
2024-10-01,395.96910
2024-11-01,320.85614
2024-12-01,245.78100
2025-01-01,350.41344
2025-02-01,344.74576
2025-03-01,196.26400
2025-04-01,210.33799
2025-05-01,171.15996
2025-06-01,374.94599
2025-07-01,276.97600
2025-08-01,250.10600
2025-09-01,413.72400
2025-10-01,284.63300
2025-11-01,161.81300
2025-12-01,88.91000
2026-01-01,48.62500
2026-02-01,72.21300
2026-03-01,113.99280
2026-04-01,116.27210
2026-05-01,134.61280
2026-06-01,359.90898
2026-07-01,374.25638
2026-08-01,176.88320
