date,value
2023-01-01,5423.88000
2023-02-01,0.00000
2023-03-01,1.07815
2023-04-01,6398.71500
2023-05-01,7032.20000
2023-06-01,6911.66518
2023-07-01,0.00000
2023-08-01,6524.11246
2023-09-01,6039.61600
2023-10-01,0.26938
2023-11-01,6420.70159
2023-12-01,0.53408
2024-01-01,6990.76000
2024-02-01,0.00000
2024-03-01,6305.25000
2024-04-01,0.00000
2024-05-01,7660.96441
2024-06-01,0.00000
2024-07-01,7557.50000
2024-08-01,0.00000
2024-09-01,0.00000
2024-10-01,0.26226
2024-11-01,0.00000
2024-12-01,6190.70000
2025-01-01,0.00000
2025-02-01,7028.70000
2025-03-01,9388.87500
2025-04-01,0.00000
2025-05-01,12625.58323
2025-06-01,0.00000
2025-07-01,12589.50000
2025-08-01,12754.12843
2025-09-01,0.00932
2025-10-01,16707.60000
2025-11-01,16417.70000
2025-12-01,0.00000
2026-01-01,16489.85000
2026-02-01,0.00000
2026-03-01,16376.75000
2026-04-01,21413.26721
2026-05-01,0.00000
2026-06-01,21603.60000
2026-07-01,21465.05000
2026-08-01,21630.80000
