date,value
2023-01-01,1544.12495
2023-02-01,1501.24661
2023-03-01,2797.60926
2023-04-01,1924.33485
2023-05-01,1792.50849
2023-06-01,2999.92333
2023-07-01,1832.50758
2023-08-01,2276.31458
2023-09-01,2549.28971
2023-10-01,2000.84577
2023-11-01,2553.05995
2023-12-01,1941.13120
2024-01-01,1754.28079
2024-02-01,1872.48854
2024-03-01,1781.99017
2024-04-01,1762.50822
2024-05-01,2320.38284
2024-06-01,1529.93321
2024-07-01,1911.55686
2024-08-01,2609.65887
2024-09-01,2251.75253
2024-10-01,2103.86453
2024-11-01,2905.54562
2024-12-01,2123.81992
2025-01-01,2590.59735
2025-02-01,1981.24751
2025-03-01,2129.53226
2025-04-01,2168.86682
2025-05-01,2658.92280
2025-06-01,1960.10893
2025-07-01,2124.78181
2025-08-01,2738.33445
2025-09-01,2576.63357
2025-10-01,2831.96817
2025-11-01,2974.04056
2025-12-01,2156.62342
2026-01-01,2586.15771
2026-02-01,2543.16667
2026-03-01,2017.06699
2026-04-01,2621.13779
2026-05-01,2417.34265
2026-06-01,2621.97509
2026-07-01,2057.77545
2026-08-01,2702.62118
