date,value
2023-01-01,3326.44117
2023-02-01,2350.27273
2023-03-01,2719.25350
2023-04-01,1948.44480
2023-05-01,1246.23942
2023-06-01,1785.08734
2023-07-01,2538.01320
2023-08-01,4179.72170
2023-09-01,2833.33938
2023-10-01,2973.14331
2023-11-01,4874.71681
2023-12-01,1608.58188
2024-01-01,2396.26279
2024-02-01,2821.44944
2024-03-01,1829.28035
2024-04-01,1266.58500
2024-05-01,1789.85497
2024-06-01,2215.95730
2024-07-01,3028.94953
2024-08-01,3973.47487
2024-09-01,4549.90097
2024-10-01,3930.32779
2024-11-01,5229.51478
2024-12-01,3704.85697
2025-01-01,4310.46195
2025-02-01,1804.87237
2025-03-01,1913.02589
2025-04-01,4978.78532
2025-05-01,4465.73069
2025-06-01,3793.51616
2025-07-01,5347.30574
2025-08-01,5170.35926
2025-09-01,4275.88407
2025-10-01,4581.82427
2025-11-01,3208.94140
2025-12-01,1925.52133
2026-01-01,4302.92552
2026-02-01,3540.15486
2026-03-01,2802.41809
2026-04-01,4676.25737
2026-05-01,4505.90359
2026-06-01,4170.11883
2026-07-01,4715.57004
2026-08-01,4214.42630
