date,value
2023-01-01,7907.88018
2023-02-01,8799.59620
2023-03-01,10538.44936
2023-04-01,8377.54981
2023-05-01,9433.35594
2023-06-01,8891.07782
2023-07-01,9428.21864
2023-08-01,8003.34902
2023-09-01,7816.16327
2023-10-01,7531.86648
2023-11-01,7891.82394
2023-12-01,8131.26464
2024-01-01,7564.25475
2024-02-01,7668.78843
2024-03-01,9566.97395
2024-04-01,7563.07737
2024-05-01,9116.43100
2024-06-01,6564.67493
2024-07-01,7513.27874
2024-08-01,10874.80407
2024-09-01,7778.54837
2024-10-01,8585.66958
2024-11-01,8203.97012
2024-12-01,6560.38485
2025-01-01,8788.46999
2025-02-01,7471.96874
2025-03-01,7689.10691
2025-04-01,10276.85770
2025-05-01,10520.05192
2025-06-01,9355.33195
2025-07-01,13711.13691
2025-08-01,9358.05095
2025-09-01,13419.11452
2025-10-01,11663.38046
2025-11-01,10947.83311
2025-12-01,10726.24387
2026-01-01,8358.50828
2026-02-01,9229.72810
2026-03-01,9311.73640
2026-04-01,10840.24833
2026-05-01,10231.19470
2026-06-01,10821.12034
2026-07-01,13834.33317
2026-08-01,11242.74604
