date,value
2023-01-01,17801.73803
2023-02-01,17068.49363
2023-03-01,18837.37536
2023-04-01,16430.72152
2023-05-01,18532.85726
2023-06-01,19579.76086
2023-07-01,18716.00979
2023-08-01,18880.33386
2023-09-01,17297.35640
2023-10-01,18426.42741
2023-11-01,20510.21475
2023-12-01,24928.03117
2024-01-01,14933.96648
2024-02-01,19787.63371
2024-03-01,22247.62843
2024-04-01,19291.52200
2024-05-01,21195.97041
2024-06-01,19160.54261
2024-07-01,21602.58683
2024-08-01,22041.69565
2024-09-01,22197.46871
2024-10-01,21089.58466
2024-11-01,20566.08616
2024-12-01,28571.91220
2025-01-01,15166.97134
2025-02-01,19823.02370
2025-03-01,19760.60587
2025-04-01,19891.32410
2025-05-01,22847.93146
2025-06-01,18603.09407
2025-07-01,21793.75472
2025-08-01,21026.50309
2025-09-01,21557.62794
2025-10-01,21908.33002
2025-11-01,22299.46201
2025-12-01,29434.71149
2026-01-01,13973.41122
2026-02-01,18169.75139
2026-03-01,17416.66315
2026-04-01,23422.57661
2026-05-01,18669.21247
2026-06-01,19757.72232
2026-07-01,22995.71328
2026-08-01,19658.86773
