date,value
2023-01-01,2844.46713
2023-02-01,2668.96333
2023-03-01,4484.82891
2023-04-01,3224.02358
2023-05-01,3401.68358
2023-06-01,3101.71810
2023-07-01,2852.69801
2023-08-01,3211.44443
2023-09-01,3162.16795
2023-10-01,2942.18389
2023-11-01,3346.44052
2023-12-01,3709.81683
2024-01-01,2533.72445
2024-02-01,3259.97056
2024-03-01,3597.34211
2024-04-01,3002.08143
2024-05-01,4350.60132
2024-06-01,2728.09652
2024-07-01,3763.99779
2024-08-01,3859.09946
2024-09-01,3057.76181
2024-10-01,3700.58901
2024-11-01,3914.86797
2024-12-01,4105.48600
2025-01-01,3201.64884
2025-02-01,3687.60614
2025-03-01,3747.78491
2025-04-01,3565.15270
2025-05-01,4124.47762
2025-06-01,3162.98640
2025-07-01,3529.84609
2025-08-01,3467.59973
2025-09-01,4123.25973
2025-10-01,3928.04030
2025-11-01,3698.10965
2025-12-01,3919.85326
2026-01-01,2999.95518
2026-02-01,2944.03692
2026-03-01,3248.86934
2026-04-01,4038.06909
2026-05-01,3304.13769
2026-06-01,3798.39982
2026-07-01,3530.10647
2026-08-01,3740.25085
