date,value
2023-01-01,57814.22241
2023-02-01,53696.28509
2023-03-01,69671.74540
2023-04-01,58607.47759
2023-05-01,67169.97574
2023-06-01,68271.65267
2023-07-01,56424.92283
2023-08-01,78341.52248
2023-09-01,72477.03412
2023-10-01,73855.38898
2023-11-01,78813.77238
2023-12-01,74801.33672
2024-01-01,62960.85571
2024-02-01,73195.28108
2024-03-01,80002.61673
2024-04-01,62981.05387
2024-05-01,83678.71262
2024-06-01,63341.77015
2024-07-01,81698.37940
2024-08-01,79010.78817
2024-09-01,76863.76222
2024-10-01,84431.38691
2024-11-01,76143.70520
2024-12-01,64484.92936
2025-01-01,71572.18800
2025-02-01,69128.65638
2025-03-01,72615.55677
2025-04-01,67928.57573
2025-05-01,78243.02699
2025-06-01,57191.37918
2025-07-01,73860.93558
2025-08-01,81222.07446
2025-09-01,73917.89561
2025-10-01,74744.63334
2025-11-01,71309.60119
2025-12-01,85355.70142
2026-01-01,69483.92367
2026-02-01,71418.67184
2026-03-01,66907.37046
2026-04-01,93952.87259
2026-05-01,69676.06212
2026-06-01,79682.92324
2026-07-01,94443.16817
2026-08-01,77978.02200
