date,value
2023-01-01,1197.13327
2023-02-01,2014.95011
2023-03-01,586.77417
2023-04-01,807.65618
2023-05-01,2478.67093
2023-06-01,2798.77069
2023-07-01,1942.46730
2023-08-01,809.93622
2023-09-01,1388.35993
2023-10-01,487.67800
2023-11-01,771.98388
2023-12-01,1141.57873
2024-01-01,1226.37221
2024-02-01,850.93508
2024-03-01,1057.11938
2024-04-01,1514.42531
2024-05-01,2129.70048
2024-06-01,766.42690
2024-07-01,1396.14266
2024-08-01,1354.03668
2024-09-01,945.49668
2024-10-01,498.66505
2024-11-01,667.18963
2024-12-01,620.97478
2025-01-01,975.06210
2025-02-01,874.54125
2025-03-01,1161.66828
2025-04-01,1310.59735
2025-05-01,1936.67547
2025-06-01,1026.18805
2025-07-01,602.79399
2025-08-01,644.63140
2025-09-01,975.09671
2025-10-01,466.50285
2025-11-01,657.74889
2025-12-01,628.71519
2026-01-01,446.56662
2026-02-01,685.37772
2026-03-01,1376.96975
2026-04-01,1158.58570
2026-05-01,972.67706
2026-06-01,816.02720
2026-07-01,681.01491
2026-08-01,800.44067
