date,value
2023-01-01,4152.53334
2023-02-01,3968.59364
2023-03-01,4590.47482
2023-04-01,3276.62130
2023-05-01,3302.98422
2023-06-01,3499.95600
2023-07-01,3447.64369
2023-08-01,3616.17511
2023-09-01,2917.99384
2023-10-01,11687.38789
2023-11-01,13490.69976
2023-12-01,18194.76065
2024-01-01,13575.28259
2024-02-01,17289.91724
2024-03-01,16224.53296
2024-04-01,8349.71956
2024-05-01,14830.18565
2024-06-01,13181.02699
2024-07-01,13410.54363
2024-08-01,13448.15234
2024-09-01,12191.95302
2024-10-01,14724.65853
2024-11-01,19773.33359
2024-12-01,12205.54498
2025-01-01,12160.04348
2025-02-01,10689.26594
2025-03-01,11794.88701
2025-04-01,10452.89762
2025-05-01,13686.08180
2025-06-01,15009.90209
2025-07-01,12701.07237
2025-08-01,16041.48847
2025-09-01,11062.90506
2025-10-01,15828.04497
2025-11-01,15398.72593
2025-12-01,11444.63028
2026-01-01,13163.10902
2026-02-01,9754.03850
2026-03-01,10477.14478
2026-04-01,15383.52609
2026-05-01,14207.53629
2026-06-01,11090.26602
2026-07-01,12927.77225
2026-08-01,16035.71130
