date,value
2023-01-01,723.65887
2023-02-01,550.50097
2023-03-01,1333.45730
2023-04-01,1034.34654
2023-05-01,517.76286
2023-06-01,588.33681
2023-07-01,567.50520
2023-08-01,774.47155
2023-09-01,649.93354
2023-10-01,482.80549
2023-11-01,539.18883
2023-12-01,406.14715
2024-01-01,781.23535
2024-02-01,1088.29253
2024-03-01,991.68348
2024-04-01,1043.97585
2024-05-01,1000.36295
2024-06-01,690.02504
2024-07-01,701.66364
2024-08-01,935.09816
2024-09-01,751.54074
2024-10-01,883.61216
2024-11-01,799.92127
2024-12-01,558.20860
2025-01-01,1008.08030
2025-02-01,967.56557
2025-03-01,1333.15002
2025-04-01,1584.32640
2025-05-01,1329.07566
2025-06-01,612.70673
2025-07-01,967.14575
2025-08-01,573.65167
2025-09-01,770.81377
2025-10-01,577.62816
2025-11-01,654.78518
2025-12-01,872.54226
2026-01-01,754.28710
2026-02-01,809.52752
2026-03-01,987.11694
2026-04-01,976.28773
2026-05-01,783.93826
2026-06-01,736.64759
2026-07-01,778.89123
2026-08-01,1409.09558
