date,value
2023-01-01,13107.89967
2023-02-01,13239.58591
2023-03-01,16996.45537
2023-04-01,12643.73942
2023-05-01,14931.53127
2023-06-01,12031.49231
2023-07-01,14104.83400
2023-08-01,12819.36783
2023-09-01,13934.28762
2023-10-01,12767.31443
2023-11-01,14032.92830
2023-12-01,13595.02479
2024-01-01,12967.94625
2024-02-01,14339.30040
2024-03-01,15161.57042
2024-04-01,12836.59128
2024-05-01,17211.93735
2024-06-01,13388.73964
2024-07-01,15725.06627
2024-08-01,15255.03023
2024-09-01,16069.80427
2024-10-01,15997.12267
2024-11-01,15417.53075
2024-12-01,13534.92291
2025-01-01,14613.95650
2025-02-01,14282.74172
2025-03-01,14821.34701
2025-04-01,14500.34493
2025-05-01,16188.27151
2025-06-01,12416.71445
2025-07-01,16984.86461
2025-08-01,14763.68011
2025-09-01,13307.01467
2025-10-01,14106.08868
2025-11-01,14291.08257
2025-12-01,12051.39957
2026-01-01,13300.38063
2026-02-01,12584.49931
2026-03-01,13596.36527
2026-04-01,18366.05772
2026-05-01,15925.69575
2026-06-01,16833.28409
2026-07-01,20654.45845
2026-08-01,18651.21708
