date,value
2023-01-01,11322.77312
2023-02-01,9351.73901
2023-03-01,12236.80878
2023-04-01,9592.30649
2023-05-01,11110.68951
2023-06-01,10461.92253
2023-07-01,11877.36400
2023-08-01,11861.06768
2023-09-01,9672.42222
2023-10-01,11126.20915
2023-11-01,11265.21617
2023-12-01,12463.47273
2024-01-01,8995.06890
2024-02-01,11716.09306
2024-03-01,13332.18011
2024-04-01,8490.93826
2024-05-01,13569.40300
2024-06-01,9070.78130
2024-07-01,13129.53249
2024-08-01,12519.45796
2024-09-01,12027.44828
2024-10-01,9142.90599
2024-11-01,10875.76907
2024-12-01,9040.98160
2025-01-01,9456.74607
2025-02-01,7638.70333
2025-03-01,8812.34780
2025-04-01,7547.24083
2025-05-01,8098.79006
2025-06-01,7838.39285
2025-07-01,9782.72971
2025-08-01,9084.47175
2025-09-01,9393.41373
2025-10-01,9431.52652
2025-11-01,8078.62627
2025-12-01,8499.51729
2026-01-01,6345.80096
2026-02-01,7606.79212
2026-03-01,9386.26144
2026-04-01,16876.70692
2026-05-01,8331.45036
2026-06-01,9910.31481
2026-07-01,9050.58448
2026-08-01,10176.45490
