date,value
2023-01-01,8212.54890
2023-02-01,3544.71102
2023-03-01,4826.31102
2023-04-01,8332.40527
2023-05-01,5184.19830
2023-06-01,7992.54910
2023-07-01,5750.92215
2023-08-01,10314.98374
2023-09-01,5510.80633
2023-10-01,8768.50197
2023-11-01,5968.03432
2023-12-01,9108.59622
2024-01-01,4202.29072
2024-02-01,9235.72107
2024-03-01,4424.81001
2024-04-01,3635.53705
2024-05-01,5475.52932
2024-06-01,5284.57253
2024-07-01,4970.17265
2024-08-01,6069.56382
2024-09-01,4832.42754
2024-10-01,9084.09344
2024-11-01,5305.82148
2024-12-01,7161.71790
2025-01-01,10984.33957
2025-02-01,5134.70283
2025-03-01,10461.68957
2025-04-01,7296.85583
2025-05-01,7056.01428
2025-06-01,11044.56362
2025-07-01,13818.98421
2025-08-01,10730.54107
2025-09-01,6707.49148
2025-10-01,10300.27591
2025-11-01,9570.90158
2025-12-01,15965.03346
2026-01-01,4895.28209
2026-02-01,5512.31824
2026-03-01,5697.81513
2026-04-01,7550.69193
2026-05-01,7527.35958
2026-06-01,16751.74608
2026-07-01,16880.98761
2026-08-01,14566.94086
