date,value
2023-01-01,39767.28762
2023-02-01,42980.81683
2023-03-01,56657.66593
2023-04-01,50567.09645
2023-05-01,67844.99392
2023-06-01,72205.65160
2023-07-01,61884.49945
2023-08-01,65235.47596
2023-09-01,59357.19788
2023-10-01,60432.90072
2023-11-01,57223.48259
2023-12-01,55299.90872
2024-01-01,71893.39334
2024-02-01,65876.99240
2024-03-01,63396.94581
2024-04-01,60114.63841
2024-05-01,66789.56059
2024-06-01,57983.47116
2024-07-01,63891.67192
2024-08-01,68094.15254
2024-09-01,68886.23033
2024-10-01,70485.48085
2024-11-01,88980.18872
2024-12-01,85161.18982
2025-01-01,59865.88717
2025-02-01,66398.20456
2025-03-01,68562.14212
2025-04-01,75013.05144
2025-05-01,83157.73275
2025-06-01,82215.26684
2025-07-01,90750.10020
2025-08-01,82100.25847
2025-09-01,90174.70388
2025-10-01,102316.33567
2025-11-01,95006.40594
2025-12-01,104551.23194
2026-01-01,79570.70947
2026-02-01,74342.19998
2026-03-01,74440.42074
2026-04-01,79411.06505
2026-05-01,79254.32432
2026-06-01,88541.78890
2026-07-01,111737.20387
2026-08-01,109375.86717
