date,value
2023-01-01,79.11322
2023-02-01,92.24468
2023-03-01,159.90207
2023-04-01,141.78706
2023-05-01,106.29117
2023-06-01,76.09875
2023-07-01,63.60370
2023-08-01,330.86515
2023-09-01,352.78530
2023-10-01,400.23137
2023-11-01,1162.99672
2023-12-01,162.54472
2024-01-01,63.73151
2024-02-01,118.39614
2024-03-01,111.21996
2024-04-01,780.90612
2024-05-01,64.21162
2024-06-01,307.51947
2024-07-01,362.43375
2024-08-01,636.63494
2024-09-01,320.94350
2024-10-01,981.18603
2024-11-01,762.79137
2024-12-01,1504.63017
2025-01-01,1071.12040
2025-02-01,340.28821
2025-03-01,416.60014
2025-04-01,373.10179
2025-05-01,281.82361
2025-06-01,213.96753
2025-07-01,109.33947
2025-08-01,71.04107
2025-09-01,812.40111
2025-10-01,52.84492
2025-11-01,65.35884
2025-12-01,92.44300
2026-01-01,84.22779
2026-02-01,109.79014
2026-03-01,88.83362
2026-04-01,115.80105
2026-05-01,2539.00111
2026-06-01,135.25824
2026-07-01,133.98205
2026-08-01,37.89610
