date,value
2023-01-01,2271.78623
2023-02-01,647.41910
2023-03-01,845.83117
2023-04-01,1243.84792
2023-05-01,1231.74199
2023-06-01,1028.50074
2023-07-01,1740.61033
2023-08-01,1089.12744
2023-09-01,1470.33820
2023-10-01,1056.99593
2023-11-01,1486.35048
2023-12-01,1145.98964
2024-01-01,687.44719
2024-02-01,1129.85076
2024-03-01,1063.58191
2024-04-01,674.56371
2024-05-01,1283.58666
2024-06-01,1069.82498
2024-07-01,1164.00452
2024-08-01,1396.55406
2024-09-01,1453.32582
2024-10-01,1707.61553
2024-11-01,1201.22528
2024-12-01,1362.95941
2025-01-01,960.66368
2025-02-01,1252.08256
2025-03-01,1404.24459
2025-04-01,1277.62447
2025-05-01,1455.19343
2025-06-01,1063.53658
2025-07-01,1073.54362
2025-08-01,1691.25616
2025-09-01,1269.23898
2025-10-01,2002.54708
2025-11-01,1719.89471
2025-12-01,1401.87779
2026-01-01,867.84067
2026-02-01,1220.12352
2026-03-01,1217.92490
2026-04-01,1470.00699
2026-05-01,958.83797
2026-06-01,1524.50060
2026-07-01,1363.45543
2026-08-01,1185.94325
