date,value
2023-01-01,3452.77822
2023-02-01,4004.56333
2023-03-01,4553.79235
2023-04-01,3144.91116
2023-05-01,6973.31960
2023-06-01,4121.16839
2023-07-01,3931.45031
2023-08-01,4309.68948
2023-09-01,4934.61197
2023-10-01,4865.66167
2023-11-01,4432.84579
2023-12-01,3417.70783
2024-01-01,3224.38919
2024-02-01,4883.66860
2024-03-01,4763.70829
2024-04-01,3113.72435
2024-05-01,5009.61352
2024-06-01,3614.26679
2024-07-01,4267.03334
2024-08-01,4182.71868
2024-09-01,4267.32095
2024-10-01,4081.25716
2024-11-01,5022.44095
2024-12-01,3726.59380
2025-01-01,3431.43201
2025-02-01,6172.85371
2025-03-01,4254.19108
2025-04-01,5039.24140
2025-05-01,4984.89546
2025-06-01,5276.88332
2025-07-01,5951.50694
2025-08-01,4997.46074
2025-09-01,5051.02148
2025-10-01,4958.14957
2025-11-01,4967.13407
2025-12-01,6177.69837
2026-01-01,6415.32177
2026-02-01,7065.55310
2026-03-01,4493.38962
2026-04-01,5770.20529
2026-05-01,4331.73529
2026-06-01,6960.81677
2026-07-01,7283.08482
2026-08-01,4392.18480
