date,value
2023-01-01,965.53160
2023-02-01,607.09692
2023-03-01,496.71237
2023-04-01,535.59871
2023-05-01,955.45339
2023-06-01,1532.34870
2023-07-01,1216.95888
2023-08-01,1194.07110
2023-09-01,2466.53918
2023-10-01,912.04799
2023-11-01,1036.91169
2023-12-01,424.86588
2024-01-01,509.31976
2024-02-01,1601.12959
2024-03-01,1930.94314
2024-04-01,2059.98218
2024-05-01,1922.22377
2024-06-01,1506.67918
2024-07-01,930.84997
2024-08-01,1096.86140
2024-09-01,404.13029
2024-10-01,979.68388
2024-11-01,952.49355
2024-12-01,1216.47607
2025-01-01,1170.20230
2025-02-01,1371.40183
2025-03-01,949.64221
2025-04-01,1423.01993
2025-05-01,2292.08778
2025-06-01,1500.31648
2025-07-01,770.47555
2025-08-01,608.96853
2025-09-01,731.95089
2025-10-01,791.37730
2025-11-01,1300.23532
2025-12-01,1348.49938
2026-01-01,927.43857
2026-02-01,837.75645
2026-03-01,880.10504
2026-04-01,1560.05889
2026-05-01,1765.65287
2026-06-01,987.68532
2026-07-01,1054.99626
2026-08-01,1190.23283
