date,value
2023-01-01,1468.80654
2023-02-01,2285.71584
2023-03-01,3022.15576
2023-04-01,1842.66708
2023-05-01,3801.96118
2023-06-01,3107.51062
2023-07-01,2169.63734
2023-08-01,3221.09283
2023-09-01,2362.95305
2023-10-01,2463.55508
2023-11-01,3323.59531
2023-12-01,3115.09897
2024-01-01,1934.00326
2024-02-01,2831.86095
2024-03-01,3617.82905
2024-04-01,3019.41776
2024-05-01,3428.39793
2024-06-01,2598.23417
2024-07-01,3447.97824
2024-08-01,3564.25762
2024-09-01,3406.02232
2024-10-01,2470.57294
2024-11-01,2263.95980
2024-12-01,2197.77141
2025-01-01,2529.74951
2025-02-01,2565.66787
2025-03-01,3403.17044
2025-04-01,2997.80876
2025-05-01,4001.43205
2025-06-01,3148.72246
2025-07-01,4337.87823
2025-08-01,3864.86852
2025-09-01,3435.20420
2025-10-01,4579.44759
2025-11-01,3125.91880
2025-12-01,4321.86561
2026-01-01,3033.72334
2026-02-01,2389.83318
2026-03-01,3417.41473
2026-04-01,4036.05960
2026-05-01,3076.76922
2026-06-01,3973.48898
2026-07-01,5246.51143
2026-08-01,4978.77236
