date,value
2023-01-01,1585.57636
2023-02-01,1555.17929
2023-03-01,1959.28173
2023-04-01,1599.39321
2023-05-01,2308.83316
2023-06-01,1839.96035
2023-07-01,1776.48594
2023-08-01,1795.38126
2023-09-01,1822.04434
2023-10-01,2460.05149
2023-11-01,2340.23174
2023-12-01,1997.68845
2024-01-01,1390.82283
2024-02-01,2014.54772
2024-03-01,2212.69812
2024-04-01,2199.49854
2024-05-01,2981.44735
2024-06-01,1720.46135
2024-07-01,2148.49807
2024-08-01,2061.58222
2024-09-01,2412.52224
2024-10-01,2296.96459
2024-11-01,2242.84811
2024-12-01,2269.42431
2025-01-01,1817.42460
2025-02-01,2299.55416
2025-03-01,2230.26943
2025-04-01,2214.21942
2025-05-01,2238.32842
2025-06-01,3363.37450
2025-07-01,2537.22859
2025-08-01,2024.67759
2025-09-01,2018.86021
2025-10-01,2281.39808
2025-11-01,2097.20090
2025-12-01,2460.19905
2026-01-01,1956.49462
2026-02-01,1795.79391
2026-03-01,1999.75831
2026-04-01,2748.64876
2026-05-01,1871.42990
2026-06-01,2146.26861
2026-07-01,2000.25328
2026-08-01,2097.04568
