date,value
2023-01-01,7384.77959
2023-02-01,7088.75050
2023-03-01,8818.59260
2023-04-01,6587.88422
2023-05-01,7671.24323
2023-06-01,6434.56921
2023-07-01,6875.56889
2023-08-01,7582.83386
2023-09-01,8532.31911
2023-10-01,6393.89157
2023-11-01,7276.56208
2023-12-01,8212.12290
2024-01-01,7114.89221
2024-02-01,7344.82575
2024-03-01,6757.03696
2024-04-01,5334.61364
2024-05-01,8139.41519
2024-06-01,5447.68320
2024-07-01,6178.05050
2024-08-01,6133.53353
2024-09-01,7047.47725
2024-10-01,7637.97499
2024-11-01,6682.34033
2024-12-01,7625.27311
2025-01-01,7836.00151
2025-02-01,7775.17641
2025-03-01,6925.56327
2025-04-01,7834.44836
2025-05-01,6539.98052
2025-06-01,7653.67491
2025-07-01,6974.12376
2025-08-01,8571.97928
2025-09-01,8234.61107
2025-10-01,9178.70299
2025-11-01,8293.42353
2025-12-01,9244.11659
2026-01-01,8559.95454
2026-02-01,5743.98834
2026-03-01,5165.09257
2026-04-01,5199.76592
2026-05-01,7415.13208
2026-06-01,6712.33790
2026-07-01,8585.86348
2026-08-01,6011.71684
