date,value
2023-01-01,50.65549
2023-02-01,27.88319
2023-03-01,101.28538
2023-04-01,14.60141
2023-05-01,69.09592
2023-06-01,9.24550
2023-07-01,79.34870
2023-08-01,107.73023
2023-09-01,67.21153
2023-10-01,15.30296
2023-11-01,0.00000
2023-12-01,98.63811
2024-01-01,2.85500
2024-02-01,34.71792
2024-03-01,145.22096
2024-04-01,51.66123
2024-05-01,23.42013
2024-06-01,46.06605
2024-07-01,139.12087
2024-08-01,3.45000
2024-09-01,26.27182
2024-10-01,5.13395
2024-11-01,59.05194
2024-12-01,27.58500
2025-01-01,50.78816
2025-02-01,8.74056
2025-03-01,76.80205
2025-04-01,13.56708
2025-05-01,28.15276
2025-06-01,20.10366
2025-07-01,150.85678
2025-08-01,43.81175
2025-09-01,82.00323
2025-10-01,113.82454
2025-11-01,71.39641
2025-12-01,154.78378
2026-01-01,433.21615
2026-02-01,1483.13050
2026-03-01,46.04433
2026-04-01,977.74173
2026-05-01,208.10104
2026-06-01,0.25411
2026-07-01,56.84460
2026-08-01,173.31545
