date,value
2023-01-01,3695.90765
2023-02-01,1798.61335
2023-03-01,2475.64609
2023-04-01,2051.59640
2023-05-01,3864.77071
2023-06-01,2712.59756
2023-07-01,2338.56964
2023-08-01,2801.59905
2023-09-01,3008.00629
2023-10-01,3123.42514
2023-11-01,3479.38358
2023-12-01,2728.64624
2024-01-01,2384.35951
2024-02-01,2890.66567
2024-03-01,2306.93681
2024-04-01,1760.55321
2024-05-01,2771.54954
2024-06-01,2386.13831
2024-07-01,3418.42079
2024-08-01,2570.55028
2024-09-01,2524.62926
2024-10-01,3784.10844
2024-11-01,2696.41146
2024-12-01,3393.57045
2025-01-01,2756.84319
2025-02-01,2478.90167
2025-03-01,2819.05106
2025-04-01,3535.14885
2025-05-01,2859.20318
2025-06-01,2307.56116
2025-07-01,3188.54197
2025-08-01,2859.50168
2025-09-01,3018.36964
2025-10-01,2908.77610
2025-11-01,2877.77301
2025-12-01,3801.81048
2026-01-01,2378.01865
2026-02-01,5360.72372
2026-03-01,4375.75014
2026-04-01,5701.14729
2026-05-01,4311.15826
2026-06-01,4535.70280
2026-07-01,3791.89224
2026-08-01,2240.84989
