date,value
2023-01-01,630.84181
2023-02-01,643.50938
2023-03-01,607.91777
2023-04-01,395.47190
2023-05-01,189.72333
2023-06-01,364.36808
2023-07-01,408.05947
2023-08-01,383.89131
2023-09-01,611.92826
2023-10-01,472.64765
2023-11-01,342.76485
2023-12-01,531.78109
2024-01-01,690.87315
2024-02-01,616.97458
2024-03-01,894.80285
2024-04-01,567.91325
2024-05-01,647.22135
2024-06-01,518.58118
2024-07-01,441.35681
2024-08-01,483.08821
2024-09-01,561.04099
2024-10-01,465.06503
2024-11-01,856.13003
2024-12-01,1036.17559
2025-01-01,529.22375
2025-02-01,614.18403
2025-03-01,598.81664
2025-04-01,207.29864
2025-05-01,1070.43778
2025-06-01,1022.90981
2025-07-01,850.56509
2025-08-01,1071.61359
2025-09-01,1174.17397
2025-10-01,817.24591
2025-11-01,1050.57166
2025-12-01,890.74803
2026-01-01,632.28677
2026-02-01,468.15447
2026-03-01,467.52844
2026-04-01,1452.48935
2026-05-01,800.51391
2026-06-01,1378.70643
2026-07-01,818.34119
2026-08-01,734.31986
