date,value
2023-01-01,864.97958
2023-02-01,571.50620
2023-03-01,1285.42536
2023-04-01,1456.35028
2023-05-01,1574.57193
2023-06-01,1956.54963
2023-07-01,1671.96551
2023-08-01,1999.49305
2023-09-01,1975.45165
2023-10-01,1470.87799
2023-11-01,1492.99743
2023-12-01,2633.01361
2024-01-01,971.82874
2024-02-01,944.08593
2024-03-01,1098.23750
2024-04-01,1389.94980
2024-05-01,1732.11018
2024-06-01,1490.00127
2024-07-01,1480.79129
2024-08-01,1316.34866
2024-09-01,1328.26909
2024-10-01,1200.04969
2024-11-01,769.37182
2024-12-01,1677.54483
2025-01-01,1995.72962
2025-02-01,544.58206
2025-03-01,857.07980
2025-04-01,1107.49414
2025-05-01,1373.69401
2025-06-01,1183.42893
2025-07-01,1215.43914
2025-08-01,1332.13010
2025-09-01,1321.98078
2025-10-01,1668.92372
2025-11-01,1207.55330
2025-12-01,1673.74007
2026-01-01,1071.47456
2026-02-01,901.18859
2026-03-01,677.35296
2026-04-01,1625.31810
2026-05-01,933.25108
2026-06-01,1582.98301
2026-07-01,2298.63837
2026-08-01,1995.88873
