date,value
2023-01-01,4502.78372
2023-02-01,3585.20283
2023-03-01,3631.67829
2023-04-01,4095.34607
2023-05-01,5025.52585
2023-06-01,5063.99695
2023-07-01,5378.09586
2023-08-01,4635.75047
2023-09-01,4320.12794
2023-10-01,3853.96897
2023-11-01,3140.41205
2023-12-01,3939.54095
2024-01-01,4190.15539
2024-02-01,4016.63618
2024-03-01,3666.44569
2024-04-01,2935.46290
2024-05-01,4512.11547
2024-06-01,3888.71356
2024-07-01,5435.67648
2024-08-01,4061.44408
2024-09-01,4334.27662
2024-10-01,4849.43875
2024-11-01,4459.88568
2024-12-01,5156.82917
2025-01-01,3310.57309
2025-02-01,3503.99021
2025-03-01,5697.67790
2025-04-01,4978.49605
2025-05-01,4192.37046
2025-06-01,3931.19679
2025-07-01,3801.12369
2025-08-01,4311.98252
2025-09-01,4392.90691
2025-10-01,4723.38033
2025-11-01,3382.70402
2025-12-01,3448.46709
2026-01-01,3110.60043
2026-02-01,3124.26326
2026-03-01,3850.53414
2026-04-01,4272.37513
2026-05-01,3702.70870
2026-06-01,3235.55480
2026-07-01,3124.95631
2026-08-01,2573.93007
