date,value
2023-01-01,358.88850
2023-02-01,385.10480
2023-03-01,486.17145
2023-04-01,359.87820
2023-05-01,115.03580
2023-06-01,181.79226
2023-07-01,184.62882
2023-08-01,123.79172
2023-09-01,184.58198
2023-10-01,295.13724
2023-11-01,312.67431
2023-12-01,135.98006
2024-01-01,279.39127
2024-02-01,29.68036
2024-03-01,146.07011
2024-04-01,194.46353
2024-05-01,205.24590
2024-06-01,185.05604
2024-07-01,127.50805
2024-08-01,225.66140
2024-09-01,129.82862
2024-10-01,245.39630
2024-11-01,94.37859
2024-12-01,118.70095
2025-01-01,124.57081
2025-02-01,104.60661
2025-03-01,175.81384
2025-04-01,213.67432
2025-05-01,158.04850
2025-06-01,102.20662
2025-07-01,161.03932
2025-08-01,293.25647
2025-09-01,167.57153
2025-10-01,260.38531
2025-11-01,123.67477
2025-12-01,278.35180
2026-01-01,12.91470
2026-02-01,184.46544
2026-03-01,180.78183
2026-04-01,898.33817
2026-05-01,1111.99231
2026-06-01,1107.33562
2026-07-01,1688.92514
2026-08-01,430.59217
