date,value
2023-01-01,419.52150
2023-02-01,753.99364
2023-03-01,1101.10275
2023-04-01,486.27700
2023-05-01,933.08720
2023-06-01,694.05309
2023-07-01,601.22797
2023-08-01,633.41373
2023-09-01,1113.87184
2023-10-01,1065.47134
2023-11-01,1355.28221
2023-12-01,645.76865
2024-01-01,800.26893
2024-02-01,715.13337
2024-03-01,461.89641
2024-04-01,382.01055
2024-05-01,703.37253
2024-06-01,661.09090
2024-07-01,930.49514
2024-08-01,924.50040
2024-09-01,901.59665
2024-10-01,1490.39175
2024-11-01,1390.44731
2024-12-01,503.01557
2025-01-01,262.61456
2025-02-01,381.96230
2025-03-01,351.92602
2025-04-01,568.44163
2025-05-01,504.41319
2025-06-01,618.88180
2025-07-01,795.11354
2025-08-01,525.33191
2025-09-01,767.30656
2025-10-01,1006.98043
2025-11-01,464.04288
2025-12-01,549.14710
2026-01-01,434.23519
2026-02-01,658.02416
2026-03-01,500.77204
2026-04-01,526.58451
2026-05-01,435.04492
2026-06-01,683.05543
2026-07-01,1937.47068
2026-08-01,782.09762
