date,value
2023-01-01,291750.95231
2023-02-01,292528.40467
2023-03-01,344070.14363
2023-04-01,260755.01937
2023-05-01,261775.61700
2023-06-01,268246.01590
2023-07-01,257240.97501
2023-08-01,293455.97143
2023-09-01,311288.14121
2023-10-01,272142.40896
2023-11-01,377962.16786
2023-12-01,285223.23324
2024-01-01,342252.39571
2024-02-01,281589.38902
2024-03-01,300010.73721
2024-04-01,215186.09598
2024-05-01,342072.52875
2024-06-01,240956.09809
2024-07-01,292334.38542
2024-08-01,290435.57851
2024-09-01,293405.06981
2024-10-01,288710.87218
2024-11-01,328607.66852
2024-12-01,347656.14503
2025-01-01,259083.81051
2025-02-01,264673.78140
2025-03-01,325263.96105
2025-04-01,261118.97478
2025-05-01,344351.43202
2025-06-01,291158.97100
2025-07-01,390052.76253
2025-08-01,313417.25475
2025-09-01,315590.59898
2025-10-01,348890.37028
2025-11-01,345324.01290
2025-12-01,531336.34597
2026-01-01,343207.84643
2026-02-01,314880.10408
2026-03-01,422418.37620
2026-04-01,397879.32251
2026-05-01,264061.37698
2026-06-01,302150.02318
2026-07-01,314667.91460
2026-08-01,308614.79368
