date,value
2023-01-01,16770.46588
2023-02-01,13770.09459
2023-03-01,21821.70890
2023-04-01,15400.21768
2023-05-01,18412.91746
2023-06-01,14762.67494
2023-07-01,12803.82574
2023-08-01,15852.08076
2023-09-01,18678.80390
2023-10-01,26307.62829
2023-11-01,25508.54189
2023-12-01,21985.91823
2024-01-01,20499.20017
2024-02-01,20447.99258
2024-03-01,20682.38174
2024-04-01,15181.28269
2024-05-01,16972.46075
2024-06-01,12321.51042
2024-07-01,13584.38955
2024-08-01,16923.03799
2024-09-01,24431.41436
2024-10-01,36181.87692
2024-11-01,27537.87699
2024-12-01,23903.54622
2025-01-01,21576.43133
2025-02-01,19121.00415
2025-03-01,21975.86304
2025-04-01,20132.08486
2025-05-01,16102.12628
2025-06-01,13383.86993
2025-07-01,15694.43916
2025-08-01,14960.05939
2025-09-01,18187.12421
2025-10-01,23304.91219
2025-11-01,21574.49331
2025-12-01,18277.34279
2026-01-01,21778.39017
2026-02-01,19132.56335
2026-03-01,15871.87974
2026-04-01,15737.54236
2026-05-01,12743.32970
2026-06-01,13666.73602
2026-07-01,13916.78616
2026-08-01,10222.10768
