date,value
2023-01-01,412514.17848
2023-02-01,386308.18149
2023-03-01,474673.51330
2023-04-01,350734.36998
2023-05-01,426440.20183
2023-06-01,388016.13398
2023-07-01,379811.79568
2023-08-01,394274.03500
2023-09-01,396584.08838
2023-10-01,437374.24730
2023-11-01,433343.92506
2023-12-01,378034.12786
2024-01-01,416744.95704
2024-02-01,438644.15980
2024-03-01,409538.21316
2024-04-01,366483.26878
2024-05-01,485605.07555
2024-06-01,319449.56902
2024-07-01,377360.22673
2024-08-01,355735.06142
2024-09-01,426363.66930
2024-10-01,445250.10749
2024-11-01,393883.63054
2024-12-01,433637.08042
2025-01-01,462193.78636
2025-02-01,469633.29442
2025-03-01,560344.26515
2025-04-01,528799.11767
2025-05-01,623642.96920
2025-06-01,555744.94630
2025-07-01,639100.97343
2025-08-01,500301.29307
2025-09-01,608029.66251
2025-10-01,628389.16166
2025-11-01,571385.33225
2025-12-01,468694.02271
2026-01-01,490006.62313
2026-02-01,543979.54531
2026-03-01,524833.01844
2026-04-01,644796.12291
2026-05-01,525755.39887
2026-06-01,623629.94384
2026-07-01,601758.42128
2026-08-01,488597.77267
