date,value
2023-01-01,773.20187
2023-02-01,932.03128
2023-03-01,1221.67348
2023-04-01,589.72994
2023-05-01,1390.79111
2023-06-01,940.44281
2023-07-01,742.09097
2023-08-01,1129.39785
2023-09-01,2667.64775
2023-10-01,2867.75837
2023-11-01,357.30005
2023-12-01,329.58165
2024-01-01,358.70332
2024-02-01,547.79211
2024-03-01,812.52360
2024-04-01,1286.21160
2024-05-01,1139.05840
2024-06-01,995.48337
2024-07-01,1011.59583
2024-08-01,1128.66484
2024-09-01,3704.33208
2024-10-01,1297.14219
2024-11-01,1039.42363
2024-12-01,696.55401
2025-01-01,555.17277
2025-02-01,690.93362
2025-03-01,1016.21009
2025-04-01,864.12510
2025-05-01,1252.13832
2025-06-01,877.86225
2025-07-01,1143.56797
2025-08-01,1751.68810
2025-09-01,732.63253
2025-10-01,1766.47372
2025-11-01,737.71377
2025-12-01,498.70449
2026-01-01,402.57012
2026-02-01,824.85976
2026-03-01,952.73254
2026-04-01,1410.47448
2026-05-01,663.98146
2026-06-01,1173.72763
2026-07-01,1139.34509
2026-08-01,782.03640
