date,value
2023-01-01,2560.16525
2023-02-01,4543.63118
2023-03-01,5548.04635
2023-04-01,4181.55888
2023-05-01,3212.46892
2023-06-01,1926.79830
2023-07-01,1848.55730
2023-08-01,5496.50483
2023-09-01,5417.11021
2023-10-01,5285.10912
2023-11-01,5635.60017
2023-12-01,5332.81904
2024-01-01,6123.90722
2024-02-01,6933.81327
2024-03-01,5427.22722
2024-04-01,3467.93499
2024-05-01,4638.17961
2024-06-01,3241.74334
2024-07-01,4027.30606
2024-08-01,3151.46866
2024-09-01,5311.63686
2024-10-01,6510.43650
2024-11-01,6692.43644
2024-12-01,6333.92945
2025-01-01,6271.05541
2025-02-01,7149.76219
2025-03-01,7736.49699
2025-04-01,5423.81653
2025-05-01,4500.16151
2025-06-01,4412.34220
2025-07-01,4353.71607
2025-08-01,4395.28551
2025-09-01,6124.82068
2025-10-01,6855.21063
2025-11-01,5594.75605
2025-12-01,7847.44002
2026-01-01,5400.87447
2026-02-01,5727.73222
2026-03-01,6523.00732
2026-04-01,5368.93604
2026-05-01,4816.74920
2026-06-01,3838.92816
2026-07-01,3792.38546
2026-08-01,4414.09902
