date,value
2023-01-01,12777.14667
2023-02-01,15925.21804
2023-03-01,18377.11696
2023-04-01,17406.87775
2023-05-01,18598.57989
2023-06-01,17266.28195
2023-07-01,20578.73247
2023-08-01,22802.72277
2023-09-01,20643.69353
2023-10-01,23124.17695
2023-11-01,18577.21198
2023-12-01,13650.13927
2024-01-01,19303.99030
2024-02-01,19154.21307
2024-03-01,23889.33931
2024-04-01,23982.01058
2024-05-01,26502.45431
2024-06-01,24249.37148
2024-07-01,25040.83240
2024-08-01,24027.41026
2024-09-01,27014.45906
2024-10-01,24551.73804
2024-11-01,16741.95595
2024-12-01,19600.83512
2025-01-01,18679.85098
2025-02-01,17940.41574
2025-03-01,20130.55194
2025-04-01,22435.08927
2025-05-01,20666.42802
2025-06-01,18429.15841
2025-07-01,21741.81800
2025-08-01,22899.40682
2025-09-01,26868.65429
2025-10-01,29159.36980
2025-11-01,22922.06208
2025-12-01,27880.87422
2026-01-01,25948.61098
2026-02-01,28063.39611
2026-03-01,22933.62559
2026-04-01,31726.73307
2026-05-01,24654.87614
2026-06-01,27585.54965
2026-07-01,24743.70031
2026-08-01,20300.10391
