date,value
2023-01-01,1513.32254
2023-02-01,1680.50315
2023-03-01,1684.69604
2023-04-01,1325.19092
2023-05-01,1896.98602
2023-06-01,1486.85724
2023-07-01,1306.95205
2023-08-01,1673.84744
2023-09-01,1444.50753
2023-10-01,1175.62526
2023-11-01,1222.85483
2023-12-01,934.37526
2024-01-01,1230.67033
2024-02-01,1436.23648
2024-03-01,1596.12561
2024-04-01,1260.82140
2024-05-01,1309.91864
2024-06-01,974.93873
2024-07-01,610.08330
2024-08-01,1257.73925
2024-09-01,1211.74285
2024-10-01,1320.51430
2024-11-01,1012.01717
2024-12-01,852.28088
2025-01-01,812.07234
2025-02-01,1227.28086
2025-03-01,1377.07365
2025-04-01,965.94970
2025-05-01,1359.90176
2025-06-01,1083.99787
2025-07-01,1017.93676
2025-08-01,1380.16756
2025-09-01,1424.13484
2025-10-01,1602.13170
2025-11-01,1367.00581
2025-12-01,1387.21553
2026-01-01,906.11181
2026-02-01,1413.20942
2026-03-01,1220.15747
2026-04-01,1329.99349
2026-05-01,1542.86525
2026-06-01,1632.93953
2026-07-01,1065.19900
2026-08-01,952.82909
