date,value
2023-01-01,4880.94581
2023-02-01,5707.13348
2023-03-01,6180.45939
2023-04-01,8295.70542
2023-05-01,5481.83662
2023-06-01,6979.16261
2023-07-01,4161.24724
2023-08-01,5116.08733
2023-09-01,5522.23353
2023-10-01,4513.94289
2023-11-01,4559.64943
2023-12-01,3501.22557
2024-01-01,2976.33511
2024-02-01,6176.08825
2024-03-01,5684.80488
2024-04-01,3745.51793
2024-05-01,6934.65508
2024-06-01,5324.58157
2024-07-01,7067.22736
2024-08-01,7319.54201
2024-09-01,5178.06600
2024-10-01,6409.19975
2024-11-01,7698.13545
2024-12-01,4105.72878
2025-01-01,6324.51062
2025-02-01,4928.39448
2025-03-01,3497.45398
2025-04-01,8994.91585
2025-05-01,9703.10885
2025-06-01,6522.82798
2025-07-01,6865.55673
2025-08-01,6181.11879
2025-09-01,5912.21380
2025-10-01,5580.74676
2025-11-01,3198.13584
2025-12-01,4708.87375
2026-01-01,3829.03129
2026-02-01,6560.84128
2026-03-01,3994.53797
2026-04-01,7747.10673
2026-05-01,5777.97631
2026-06-01,6834.14430
2026-07-01,5231.23433
2026-08-01,6057.30625
