date,value
2023-01-01,131419.41450
2023-02-01,128027.46313
2023-03-01,145448.78045
2023-04-01,125896.87523
2023-05-01,134775.43656
2023-06-01,143332.45906
2023-07-01,132631.70330
2023-08-01,135244.27072
2023-09-01,141893.02948
2023-10-01,149087.76455
2023-11-01,152081.41621
2023-12-01,110908.01119
2024-01-01,125348.79371
2024-02-01,132320.95288
2024-03-01,134803.63754
2024-04-01,122933.00978
2024-05-01,151465.78724
2024-06-01,125244.31130
2024-07-01,134237.87852
2024-08-01,144636.82145
2024-09-01,162613.81919
2024-10-01,156135.36426
2024-11-01,145150.17128
2024-12-01,124487.43299
2025-01-01,129168.93768
2025-02-01,119493.57253
2025-03-01,143610.44667
2025-04-01,148489.90203
2025-05-01,197488.82420
2025-06-01,168952.13223
2025-07-01,169331.18290
2025-08-01,148328.54264
2025-09-01,175653.77601
2025-10-01,202651.27242
2025-11-01,155618.90386
2025-12-01,166673.61288
2026-01-01,164172.70519
2026-02-01,171444.46883
2026-03-01,163081.88102
2026-04-01,193192.99564
2026-05-01,176850.92117
2026-06-01,195743.06596
2026-07-01,183254.35962
2026-08-01,158926.99015
