date,value
2023-01-01,12150.65778
2023-02-01,12424.95061
2023-03-01,16237.13845
2023-04-01,11100.94338
2023-05-01,13338.93197
2023-06-01,12898.95771
2023-07-01,13315.44666
2023-08-01,12597.73228
2023-09-01,13688.35804
2023-10-01,11180.30764
2023-11-01,12900.46134
2023-12-01,13085.23137
2024-01-01,8547.19021
2024-02-01,9948.44297
2024-03-01,10038.02071
2024-04-01,10798.67230
2024-05-01,14199.82282
2024-06-01,13437.41688
2024-07-01,15109.44672
2024-08-01,16279.76604
2024-09-01,15180.04669
2024-10-01,15016.72306
2024-11-01,10685.42205
2024-12-01,12809.01324
2025-01-01,10683.72206
2025-02-01,11303.83058
2025-03-01,9875.44760
2025-04-01,12266.22663
2025-05-01,13506.45218
2025-06-01,10297.86902
2025-07-01,11894.70755
2025-08-01,11193.56240
2025-09-01,13527.41708
2025-10-01,11197.73223
2025-11-01,11212.49200
2025-12-01,10238.12289
2026-01-01,8104.51627
2026-02-01,8669.21763
2026-03-01,7827.44975
2026-04-01,10594.06252
2026-05-01,9024.69880
2026-06-01,10432.07931
2026-07-01,11312.33678
2026-08-01,7355.33007
