date,value
2023-01-01,51.38165
2023-02-01,5296.11047
2023-03-01,102.76231
2023-04-01,153.79771
2023-05-01,27.73967
2023-06-01,255.00313
2023-07-01,72.65210
2023-08-01,2556.53262
2023-09-01,2618.30880
2023-10-01,470.84675
2023-11-01,136.99795
2023-12-01,155.79965
2024-01-01,40.57996
2024-02-01,11119.70176
2024-03-01,123.24154
2024-04-01,5977.17558
2024-05-01,7027.65342
2024-06-01,38.57276
2024-07-01,19680.32622
2024-08-01,133.03256
2024-09-01,10606.46374
2024-10-01,191.34609
2024-11-01,9755.54089
2024-12-01,978.20187
2025-01-01,148.76713
2025-02-01,14179.53622
2025-03-01,10234.56928
2025-04-01,7.46829
2025-05-01,9237.07343
2025-06-01,4442.46209
2025-07-01,87374.31477
2025-08-01,6046.20129
2025-09-01,116.75748
2025-10-01,7378.85013
2025-11-01,89.46744
2025-12-01,1522.73255
2026-01-01,33419.37093
2026-02-01,130.63950
2026-03-01,592.75438
2026-04-01,34.69388
2026-05-01,167.73874
2026-06-01,7.08923
2026-07-01,95.81604
2026-08-01,5267.74047
